icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,departure_dt,datetime,temperature_2m,precipitation,windspeed_10m,winddirection_10m,weathercode,visibility,cloudcover,flight_duration_s,delayed
3c56f2,1687280734,EGLL,1687284126,EDDK,EWG465  ,805,104,823.0,0.0,2,2,2023-06-20 17:00:00,2023-06-20 17:00:00,22.0,0.0,11.9,256.0,3.0,,100.0,3392,0
346147,1687280657,EGLL,1687288223,LEMD,IBE31ZY ,927,111,181.0,22.0,2,3,2023-06-20 17:00:00,2023-06-20 17:00:00,22.0,0.0,11.9,256.0,3.0,,100.0,7566,0
400877,1687280592,EGLL,1687287139,LOWW,BAW704W ,933,127,2116.0,22.0,2,2,2023-06-20 17:00:00,2023-06-20 17:00:00,22.0,0.0,11.9,256.0,3.0,,100.0,6547,0
407e21,1687280478,EGLL,1687303591,KBOS,VIR11B  ,1113,111,4218.0,77.0,2,4,2023-06-20 17:00:00,2023-06-20 17:00:00,22.0,0.0,11.9,256.0,3.0,,100.0,23113,0
40615b,1687280402,EGLL,1687287362,ESSA,BAW782F ,793,157,2410.0,34.0,2,0,2023-06-20 17:00:00,2023-06-20 17:00:00,22.0,0.0,11.9,256.0,3.0,,100.0,6960,0
4b1816,1687280340,EGLL,1687285013,LSZH,SWR3YZ  ,821,149,1724.0,12.0,2,7,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,4673,0
3c09f2,1687280282,EGLL,1687283459,EDDL,EWG7PY  ,784,119,1276.0,46.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,3177,0
46b82b,1687280233,EGLL,1687291221,,AEE3LG  ,1139,111,,,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,10988,0
4ca7d7,1687280124,EGLL,1687287255,LIRF,ITY207  ,872,104,6233.0,18.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,7131,0
405ee1,1687280003,EGLL,1687285730,LIPE,BAW542W ,1017,127,3187.0,99.0,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,5727,0
400ceb,1687279881,EGLL,1687285336,LIML,BAW568J ,1237,111,2069.0,21.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,5455,0
407af2,1687279680,EGLL,1687302375,KBOS,BAW50G  ,1679,104,5153.0,123.0,2,3,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,22695,0
a9d9f7,1687279624,EGLL,1687316338,KLAX,AAL135  ,2220,218,3082.0,30.0,2,7,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,36714,0
405bfe,1687279560,EGLL,1687294404,LLSD,BAW167  ,1561,180,8845.0,1076.0,2,3,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,14844,0
48415e,1687279455,EGLL,1687282047,EHAM,KLM16K  ,946,104,1781.0,33.0,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,2592,0
40123f,1687279372,EGLL,1687285317,LIRP,BAW606T ,788,96,20941.0,1316.0,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,5945,0
407d74,1687279312,EGLL,1687284086,EDDB,BAW986  ,1221,134,4354.0,2.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,4774,0
4cad7b,1687279233,EGLL,1687281903,EIDW,EIN169  ,774,111,1641.0,78.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,2670,0
40688a,1687279159,EGLL,1687286069,LEPA,BAW6NW  ,845,111,4041.0,136.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,6910,0
740736,1687279105,EGLL,1687306991,OERK,RJA112  ,1290,149,9808.0,434.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,27886,1
4007fb,1687278985,EGLL,1687303905,CYYZ,BAW99   ,1198,89,927.0,66.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,24920,0
a9ddb0,1687278900,EGLL,1687303003,KJFK,AAL107  ,1250,119,3188.0,26.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,24103,0
400d5b,1687278813,EGLL,1687284093,ESGG,BAW792  ,969,134,4807.0,165.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,5280,0
405a4a,1687278729,EGLL,1687281306,EBMB,BAW398R ,869,134,862.0,53.0,2,3,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,2577,0
3c65d9,1687278674,EGLL,1687282739,EDDF,DLH8H   ,798,134,1053.0,18.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,4065,0
39e680,1687278582,EGLL,1687281321,LFPG,AFR96RF ,777,104,5190.0,78.0,2,8,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,2739,0
3c65d6,1687278536,EGLL,1687283513,EDDM,DLH4EF  ,846,142,2535.0,11.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,4977,0
4075fe,1687278484,EGLL,1687286758,,BAW614B ,871,111,,,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,8274,0
406e11,1687278376,EGLL,1687313951,KLAS,VIR155M ,1942,119,1279.0,9.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,35575,0
a8a87e,1687278300,EGLL,1687304726,KIAD,UAL925  ,1532,149,2415.0,49.0,2,8,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,26426,0
4005bd,1687278157,EGLL,1687302629,TXKF,BAW19N  ,1228,134,572.0,72.0,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,24472,0
a2cb32,1687278098,EGLL,1687315275,KLAX,UAL935  ,1751,127,2238.0,60.0,2,7,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,37177,0
710110,1687278021,EGLL,1687299686,OERK,SVA122  ,1368,111,9569.0,427.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,21665,0
4007f7,1687277956,EGLL,1687307717,KATL,BAW7TG  ,2111,172,2055.0,30.0,2,22,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,29761,0
40792e,1687277880,EGLL,1687280369,EHAM,BAW44E  ,862,134,5993.0,26.0,2,0,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,2489,0
4063de,1687277805,EGLL,1687285009,LIPZ,BAW596  ,934,157,1487.0,9.0,2,4,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,7204,1
400f9a,1687277743,EGLL,1687283369,ENGM,BAW760  ,909,119,3479.0,51.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,5626,0
4b17ff,1687277674,EGLL,1687282030,LSGG,SWR89DM ,795,111,869.0,18.0,2,3,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,4356,0
406c3b,1687277481,EGLL,1687301327,KJFK,VIR153  ,1372,81,3118.0,26.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,23846,0
a4fc00,1687277409,EGLL,1687316237,KLAX,DAL187  ,1162,142,2827.0,15.0,2,7,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,38828,1
407dc5,1687277348,EGLL,1687309047,KTPA,VIR129R ,1282,149,2365.0,22.0,2,8,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,31699,0
06a2c4,1687277285,EGLL,1687299125,OTHH,QTR8Q   ,1113,104,1391.0,95.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,21840,0
407af1,1687277228,EGLL,1687309016,KSEA,BAW49   ,1547,134,349.0,86.0,2,12,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,31788,0
406a9f,1687277146,EGLL,1687303381,KCVG,BAW21H  ,1368,111,3881.0,54.0,2,11,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,26235,0
40697c,1687277079,EGLL,1687281009,EDDH,BAW96E  ,957,96,3030.0,37.0,2,3,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,3930,0
40093e,1687276959,EGLL,1687280049,EGPH,SHT8U   ,953,134,139.0,35.0,2,1,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,3090,0
461f67,1687276906,EGLL,1687284165,LEMD,BAW462  ,1171,165,220.0,22.0,2,3,2023-06-20 16:00:00,2023-06-20 16:00:00,21.9,0.0,15.5,258.0,3.0,,100.0,7259,0
400773,1687276794,EGLL,1687301252,KJFK,BAW33K  ,1273,119,2715.0,3.0,2,1,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,24458,0
010154,1687276717,EGLL,1687288614,,MSR778  ,1568,119,,,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,11897,0
406d1a,1687276595,EGLL,1687303791,KORD,BAW2AS  ,1521,111,5535.0,138.0,2,5,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,27196,0
40780e,1687276504,EGLL,1687279309,LFPG,BAW16UP ,785,81,2312.0,78.0,2,8,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,2805,0
407537,1687276458,EGLL,1687285523,,BAW838  ,1116,149,,,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,9065,0
a4c703,1687276323,EGLL,1687311110,KSLC,DAL51   ,1166,149,1676.0,15.0,2,3,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,34787,0
405bfc,1687276233,EGLL,1687290899,,BAW89   ,1435,134,,,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,14666,0
406890,1687276169,EGLL,1687307544,KMSY,BAW225Y ,1743,149,751.0,29.0,2,5,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,31375,0
40697b,1687276096,EGLL,1687282449,LEBL,BAW480N ,781,127,1152.0,11.0,2,1,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,6353,0
346499,1687276026,EGLL,1687282587,LEMD,IBE3177 ,879,127,12384.0,351.0,2,2,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,6561,0
4cad88,1687275961,EGLL,1687282817,ESSA,SAS532  ,832,119,2501.0,34.0,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,6856,0
40087a,1687275903,EGLL,1687277977,EGJJ,BAW1346 ,822,96,460.0,14.0,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,2074,0
406a35,1687275807,EGLL,1687313758,KLAX,BAW29Q  ,2068,218,2690.0,7.0,2,7,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,37951,0
407535,1687275722,EGLL,1687280060,LSGG,BAW73RP ,790,104,797.0,18.0,2,3,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,4338,0
461f64,1687275664,EGLL,1687283957,EFHK,FIN1336 ,879,127,1814.0,8.0,2,2,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,8293,0
407464,1687275600,EGLL,1687281130,LFMN,BAW354  ,803,127,15780.0,819.0,2,1,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,5530,0
4cad89,1687275547,EGLL,1687281536,ENGM,SAS806  ,1022,134,2802.0,13.0,2,1,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,5989,0
a8dd7b,1687275450,EGLL,1687301080,KEWR,UAL941  ,997,119,1413.0,35.0,2,5,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,25630,0
400a25,1687275373,EGLL,1687279139,EGPD,SHT18H  ,1277,111,861.0,41.0,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,3766,0
4009db,1687275286,EGLL,1687282409,,BAW422V ,869,134,,,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,7123,0
406f76,1687275183,EGLL,1687312018,MMMX,BAW243  ,1807,127,6773.0,216.0,2,1,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,36835,0
406a3e,1687275000,EGLL,1687281731,,BAW842P ,865,134,,,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,6731,0
4ca293,1687274872,EGLL,1687277994,EIDW,EIN161  ,874,134,1555.0,71.0,2,4,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,3122,0
3c65ca,1687274814,EGLL,1687278789,EDDF,DLH1U   ,783,134,925.0,18.0,2,4,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,3975,0
a913d6,1687274690,EGLL,1687302150,KORD,UAL959  ,1455,142,6238.0,183.0,2,5,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,27460,0
407f19,1687274605,EGLL,1687304743,KMCO,VIR135G ,1282,149,2539.0,100.0,2,6,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,30138,0
40731c,1687274527,EGLL,1687298210,,BAW277  ,1395,119,,,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,23683,0
06a05a,1687274431,EGLL,1687280434,LIRP,A7AAH   ,815,111,17500.0,2101.0,2,0,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,6003,0
06a146,1687274325,EGLL,1687296476,OTHH,QTR40E  ,1513,111,4596.0,217.0,2,1,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,22151,0
89655b,1687274258,EGLL,1687296488,OMDB,UAE2    ,1438,134,13514.0,697.0,2,2,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,22230,0
44006c,1687274120,EGLL,1687280852,LOWW,AUA4H   ,927,142,1535.0,22.0,2,2,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,6732,0
406a3d,1687274004,EGLL,1687277427,EDDL,BAW2LT  ,920,134,937.0,39.0,2,4,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,3423,0
4c01e2,1687273922,EGLL,1687282298,LYBE,ASL42V  ,889,104,212.0,33.0,2,3,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,8376,0
3c48f0,1687273759,EGLL,1687277949,EDDH,EWG38E  ,775,96,2948.0,37.0,2,3,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,4190,0
3c6543,1687273687,EGLL,1687277453,EDDF,DLH7H   ,979,165,1704.0,41.0,2,5,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,3766,0
738100,1687273560,EGLL,1687288551,LLSD,ELY316  ,977,119,5549.0,634.0,2,4,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,14991,0
4006c0,1687273498,EGLL,1687306188,KPDX,BAW71K  ,1193,142,5037.0,81.0,2,27,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,32690,0
4007f6,1687273425,EGLL,1687308172,VOBL,BAW119  ,1485,111,3680.0,91.0,2,2,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,34747,0
ab599b,1687273340,EGLL,1687307363,KSEA,DAL21   ,1218,127,807.0,101.0,2,12,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,34023,1
400b82,1687273261,EGLL,1687278478,LFNR,BAW3HM  ,904,127,6832.0,249.0,2,5,2023-06-20 15:00:00,2023-06-20 15:00:00,22.0,0.0,16.6,252.0,3.0,,100.0,5217,0
4a0661,1687273156,EGLL,1687282431,LROP,ROT392  ,988,165,1580.0,26.0,2,2,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,9275,0
484166,1687273100,EGLL,1687276715,EHAM,KLM1018 ,937,119,2753.0,49.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,3615,1
4ca640,1687273039,EGLL,1687276439,EINN,EIN38W  ,925,127,9743.0,488.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,3400,0
40688f,1687272916,EGLL,1687301826,KBNA,BAW223N ,1128,104,957.0,30.0,2,3,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,28910,0
0a0046,1687272847,EGLL,1687280991,DAAG,DAH2055 ,865,104,402.0,81.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,8144,0
a999d2,1687272787,EGLL,1687304235,KDFW,AAL81   ,1304,104,5709.0,226.0,2,22,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,31448,0
4b1814,1687272696,EGLL,1687277428,LSZH,SWR9JA  ,909,165,1560.0,2.0,2,7,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,4732,0
461f6e,1687272584,EGLL,1687281291,LPPT,BAW5LI  ,845,127,1694.0,14.0,2,4,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,8707,0
407cd8,1687272488,EGLL,1687276168,EGNS,LOG3NA  ,781,134,611.0,45.0,2,0,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,3680,0
400be5,1687272412,EGLL,1687279248,LJLJ,BAW6LJ  ,1031,127,4001.0,84.0,2,0,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,6836,0
4007fa,1687272312,EGLL,1687304342,60CO,BAW219V ,1257,104,6572.0,158.0,2,17,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,32030,0
406a04,1687272188,EGLL,1687294709,KBOS,BAW13G  ,1761,142,4299.0,85.0,2,4,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,22521,0
8964fc,1687272099,EGLL,1687295155,OMAA,ETD71M  ,1635,119,851.0,110.0,2,2,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,23056,0
4005c0,1687272030,EGLL,1687293376,OERK,BAW263  ,1379,142,11252.0,510.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,21346,0
c01723,1687271896,EGLL,1687302684,CYVR,ACA861  ,1314,81,1695.0,72.0,2,2,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,30788,0
aa7082,1687271822,EGLL,1687295771,KJFK,AAL105  ,1281,104,2855.0,18.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,23949,0
4077e0,1687271748,EGLL,1687274294,EGNT,SHT12Z  ,891,180,78.0,48.0,2,0,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,2546,0
400942,1687271611,EGLL,1687274729,EGPH,SHT8A   ,879,111,851.0,42.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,3118,0
405a48,1687271524,EGLL,1687276257,LFBO,BAW4DP  ,813,104,852.0,15.0,2,4,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,4733,0
400f99,1687271463,EGLL,1687277459,LKPR,BAW860J ,865,119,1657.0,37.0,2,8,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,5996,0
aa6914,1687271349,EGLL,1687302798,KTMB,AAL57   ,1449,149,7405.0,904.0,2,11,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,31449,0
406b48,1687271285,EGLL,1687286020,,VIR250  ,2169,142,,,2,0,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,14735,0
a18cbb,1687271139,EGLL,1687302611,KDEN,UAL263  ,1353,81,5510.0,36.0,2,18,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,31472,0
405455,1687271052,EGLL,1687277122,EDDL,BAW4CK  ,885,111,959.0,46.0,2,4,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,6070,1
4009c5,1687270988,EGLL,1687274638,LFHW,BAW362Y ,952,134,19818.0,1194.0,2,2,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,3650,0
400b83,1687270881,EGLL,1687277965,LHBP,BAW874B ,1001,157,1838.0,44.0,2,7,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,7084,0
406a03,1687270726,EGLL,1687307714,KSFO,BAW28K  ,1715,149,492.0,49.0,2,5,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,36988,0
40797a,1687270660,EGLL,1687302163,1XS1,BAW97A  ,1698,119,11068.0,957.0,2,15,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,31503,0
406250,1687270543,EGLL,1687277368,,BAW844  ,879,96,,,2,0,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,6825,0
407844,1687270291,EGLL,1687273400,EGPF,SHT6Y   ,1255,188,9741.0,525.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,3109,0
400960,1687270222,EGLL,1687276305,LIPZ,BAW468  ,876,111,1361.0,24.0,2,4,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,6083,0
ab5867,1687270126,EGLL,1687296271,KORD,AAL47   ,1851,149,6259.0,168.0,2,5,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,26145,0
4075b4,1687270042,EGLL,1687293609,KJFK,VIR9J   ,1167,134,3172.0,34.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,23567,0
407af4,1687269975,EGLL,1687307246,KSAN,BAW44N  ,1196,157,1806.0,55.0,2,9,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,37271,0
400684,1687269896,EGLL,1687290627,OBBI,BAW125  ,1076,119,18072.0,920.0,2,0,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,20731,0
407536,1687269833,EGLL,1687276904,EPWA,BAW850T ,920,134,1517.0,3.0,2,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,7071,0
ab00d6,1687269720,EGLL,1687295410,KDTW,DAL17   ,1220,134,4811.0,131.0,2,8,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,25690,0
406948,1687269602,EGLL,1687294160,KJFK,BAW15K  ,1939,210,3285.0,34.0,3,1,2023-06-20 14:00:00,2023-06-20 14:00:00,21.4,0.1,16.9,246.0,51.0,,100.0,24558,0
406b49,1687269469,EGLL,1687300814,KSEA,VIR105  ,1325,73,640.0,86.0,3,12,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,31345,0
500214,1687269400,EGLL,1687284179,,MEA202  ,1110,172,,,3,0,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,14779,0
40649f,1687269335,EGLL,1687273185,EGPD,SHT18F  ,1049,104,973.0,41.0,3,0,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,3850,0
a31a54,1687269225,EGLL,1687304748,KSFO,UAL939  ,1533,89,1512.0,49.0,3,5,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,35523,0
407600,1687269141,EGLL,1687280380,LTFM,BAW688  ,823,127,6480.0,304.0,3,2,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,11239,0
3c6541,1687269010,EGLL,1687274008,EDDM,DLH7LC  ,736,111,1304.0,18.0,3,3,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,4998,0
4952c6,1687268903,EGLL,1687277341,LPPT,TAP1359 ,700,96,2399.0,30.0,3,4,2023-06-20 13:00:00,2023-06-20 13:00:00,21.1,0.1,18.0,217.0,51.0,,100.0,8438,0
